Title,Location,Date,Time
Karen_Zoid_live_at_Daisy_Jones,Summerhill Wines_R44_7615_Stellenbosch_Western Cape_South Africa,2024-04-19,15:00:00
Elandre_by_Railways_Cafe_19_April,2 Hack Road _Centurion_0157_Pretoria_Gauteng_South Africa,2024-04-19,16:00:00
Sensual_Temple_Nights,Bel Ombre Road 14_Bel Ombre_7806_Cape Town_Western Cape_South Africa,2024-04-19,17:00:00
"Mark_Fransman_""Homage_""_Trio",Edward Road 29_29 Edward road Sophiatown _2092_Johannesburg_Gauteng_South Africa,2024-04-19,17:00:00
Bon_voyage_Ndumiso_Nyovane,70 New Church Street_Gardens_8001_Cape Town_Western Cape_South Africa,2024-04-19,15:00:00
Muneeb_Hermans_Quartet,Buitengracht Street 35_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-19,19:00:00
We_are_the_Women_(Volume_2),Beach Road 56_Muizenberg_7950_Cape Town_Western Cape_South Africa,2024-04-19,16:30:00
GINA'S,Residence Road 0A_Rondebosch_7700_Cape Town_Western Cape_South Africa,2024-04-19,17:00:00
Kenrock_Family_Movie_Night,"Kenrock Estate, Hout Bay",2024-04-19,16:00:00
Loufi_@_Padstal,The Highway Street 265_0184_Pretoria_Gauteng_South Africa,2024-04-19,19:00:00
The_Hang_Out_curated_by_Four_to_the_Floor_SA,Bree Street 110_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-19,16:00:00
BOD_Game_Night,94 Arum Road_Table View_7441_Cape Town_Western Cape_South Africa,2024-04-19,17:00:00
The_Dukes_of_Note_|_Matthew_Cleaner_|_Dreameater,Lower Main Road 135_Observatory_7925_Cape Town_Western Cape_South Africa,2024-04-19,16:15:00
Donny_Basco_And_Friends,4th Avenue 78A_2109_Johannesburg_Gauteng_South Africa,2024-04-19,17:00:00
"SNC_on_Hawley_(ORIGINS)_ft_CLINT_L,_BENA_B_&_APO_/_Friday_19_April_2024",Hawley Road 14_2008_Germiston_Gauteng_South Africa,2024-04-19,16:00:00
PLAYBOY_MANSION_PARTY_PT2,Long Street 273_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-19,18:00:00
As_Above_So_Below_All_Night_Drum&Bass,23A Buitenkant Street_7925_Cape Town_Western Cape_South Africa,2024-04-19,19:00:00
Varsity_Shield_After_Party,Produce Street 7_South End_6001_Gqeberha_Eastern Cape_South Africa,2024-04-19,16:00:00
GROOVE_@_Green_Meadows,Retief Street 111_2520_Potchefstroom_North West_South Africa,2024-04-19,16:00:00
Minimal_Bar_Fridays,Orphan Street 11_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-19,00:00:00
Oe-aa-sieS_Family_Gathering_FUNdraiser_@_KONG_Sound_Sanctury,Cobern Street 12_8001_Cape Town_Western Cape_South Africa,2024-04-19,18:00:00
GUVNOR__FRIYAY_AFRO_FUSION_NIGHT,First Street Plot 77_Kampala_Central Region_Uganda,2024-04-19,19:00:00
8th_Day_of_Creation_Fundraiser,Hope Street 69_Cape Town City Centre_8001_Cape Town_Western Cape_South Africa,2024-04-19,18:00:00
Feel_It_|_Part_4:_Fire_|_Hout_Bay_|_Secret_Sunrise,Ishta,2024-04-20,05:00:00
Mindfulness,North Beach_Durban_Durban_South Africa,2024-04-20,05:00:00
#Wedotransformations_MEGA_Workout,Foam Rd & Marine Dr_Milnerton Rural_Cape Town_Milnerton Rural_Cape Town_Western Cape_South Africa,2024-02-10,07:00:00
Salt_Rock_Beach_Hike,Hewitt Road 8_4420_Dolphin Coast_South Africa,2024-04-20,05:00:00
The_Parenting_Partner_-_THE_IDENTITY_SESSION_-_Exploring_your_new_identity_as_a_parent,Duvernoy Street 166_Constantia Park_0010_Pretoria_Gauteng_South Africa,2024-04-20,07:00:00
Rein/Clean_-_Book_Launch,"La pineta, R44 Stellenbosch winelands",2024-04-20,07:00:00
Book_Launch:_Lonwabo_&_the_Gongqongqo,4th Avenue 59_2104_Randburg_Gauteng_South Africa,2024-04-20,08:00:00
"Book_Launch:_Wake_Up,_This_is_Joburg",Chiswick Street 29_2019_Johannesburg_Gauteng_South Africa,2024-04-20,08:00:00
Geology_Walk,Galena Avenue_Kloofendal_Roodepoort_Gauteng_South Africa,2024-04-20,07:00:00
Kid's_Primal_Movement_Event,M5 _Krugersdorp_Gauteng_South Africa,2024-04-20,08:00:00
Die_Ouerskap_Konneksie:_'n_Werkswinkel_vir_Ouers_(Retsa_Education),Amkor Road 123_Lyttelton Manor_0157_Centurion_Gauteng_South Africa,2024-04-20,08:00:00
Creepy_Crawly_Walk_&_Talk_2024,Gemstone Road_Pretoria Rural_Centurion_Gauteng_South Africa,2024-04-20,06:30:00
CANSA_Shades_of_Pink_Walk_Redhouse_Gqeberha,Paterson Street _6215_Gqeberha_Eastern Cape_South Africa,2024-04-20,06:30:00
Saxonwold_-_Grace_and_Grandeur_10h00,Oxford Road 40_2193_Johannesburg_Gauteng_South Africa,2024-04-20,08:00:00
Healing_Hikes_-_Newlands_Forest,Newlands Forest,2024-04-20,06:00:00
RELEASE_&_FLOW:_Yoga_By_The_River,Ravel Street 16_1912_Vanderbijlpark_Gauteng_South Africa,2024-04-20,06:30:00
CTL_Queer_Book_Club,Parade Street 1_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-20,07:45:00
"Tree,_Shrub_and_Forbs_Course",Veronica / Galena Street _1709_Roodepoort_Gauteng_South Africa,2024-04-20,07:00:00
Financial_Freedom_Series:_Getting_out_of_debt_and_creating_generational_wealth,Corvette Avenue 24_Sun Valley_7985_Cape Town_Western Cape_South Africa,2024-04-20,07:00:00
Granny_B's_Chalk_Painting_Technique(R100),Roos Street 35_2068_Sandton_Gauteng_South Africa,2024-04-20,07:00:00
How_to_make_a_two_way_step_stool,WORKSHOP LITTLE FALLS,2024-04-05,08:00:00
How_to_make_and_modify_a_tray,146 North Rand Road _1459_Boksburg_Gauteng_South Africa,2024-04-20,07:00:00
Saturday_Sessions:_AI_2.0:_Unraveling_Tomorrow's_Possibilities_with_Joseph_Appiah_Yeboah,Dock Road 17_Victoria & Alfred Waterfront_8002_Cape Town_Western Cape_South Africa,2024-04-20,07:30:00
cultivate_Mindfulness_-_Women's_Event,"Fontainebleau Community Church: Corner of Fourth Ave and, Rabie St, Fontainebleau, Randburg, 2032",2024-04-20,08:00:00
DATA_AND_AI_COMMUNITY_DAY_JOBURG_APRIL_2024,Microsoft Bryanston,2024-04-20,06:00:00
Discover_Herbalife_and_Getting_Started,Stanza Bopape Street 1217_Hatfield_0028_Pretoria_Gauteng_South Africa,2024-04-20,08:00:00
Sourdough_Baking_Workshop,6 Myburgh Laan_7287_L'Agulhas_Western Cape_South Africa,2024-04-20,07:30:00
Finding_Your_Power,FiftyKnots ,2024-04-20,08:00:00
Herbalism:_A_Practical_Guide_to_Pregnancy_and_Baby_Care,Hopeville Street 17_Gardens_8001_Cape Town_Western Cape_South Africa,2024-04-20,09:00:00
Fynbos_and_Fragrance_Scent_Tour,Constantia Greenbelt (Exact location confirmed via email before event),2024-04-20,08:00:00
Massage_Exchange_(men_only)_-__20_April_2024,224 Carinus Street_Meyerspark_0103_Pretoria_Gauteng_South Africa,2024-04-20,07:00:00
'EVITA@88'_-_20_April_2024,Arcadia Street 8_7345_Darling_Western Cape_South Africa,2024-04-20,10:00:00
Bow_instrument_making,Brounger Road _Sillery_7806_Cape Town_Western Cape_South Africa,2024-04-20,09:00:00
Source_to_Sea_fundraiser_walks_for_FOSNA,Silvermine River_Cape Town_Western Cape_South Africa,2024-04-09,06:00:00
HOW_TO_MAKE_MONEY_WITH_PROPERTY_20/04,Techno Avenue R44_7600_Stellenbosch_Western Cape_South Africa,2024-04-20,08:00:00
MADE_Creative_Workshops_at_Watershed_:_Ceramics,Dock Road 17_Victoria & Alfred Waterfront_8002_Cape Town_Western Cape_South Africa,2024-04-20,10:00:00
Fantasy_Play,Kotze Street 11_2017_Johannesburg_Gauteng_South Africa,2024-04-20,07:30:00
Barefoot_Leather_Shoe_Workshop_-_Greyton,Park Street 36_7233_Greyton_Western Cape_South Africa,2024-04-20,08:00:00
Introduction_to_Vision_Boarding_Workshop,Bryanston Ext 3,2024-04-20,07:00:00
DISCOVER_HERBALIFE_-_BBS_-__20th_APRIL_-_2024__ROYAL_NATAL_YACHT_CLUB,Yacht Mole Durban_Harbour_Durban_4001_4001_Durban_KwaZulu-Natal_South Africa,2024-04-20,07:45:00
East_London_Herbalife_BBS_and_Customer_Celebration_Day_@Buffs_Club_20th_April2024,1 Buffalo Park Drive_Quigney_5201_East London_Eastern Cape_South Africa,2024-04-20,07:00:00
